CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;165.74;337.33
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;38145.74;20943.87
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;32839.41;18118.35
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;29212.25;14073.17
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;30902.89;34317.87
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;37501.70;15665.50
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;61802.15;8427.67
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;40493.48;43159.68
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;34333.72;152673.80
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;107490.80;117491.50
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;41629.07;23028.15
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;26632.56;18677.28
02;1112530301;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre Transmissão - Inter Vivos - de Bens ;SECRETARIA MUNICIPAL DE FINANÇAS;06;46842.31;498310.16
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;20241.73;15201.15
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;14813.22;7994.30
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;13549.98;6577.14
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;13679.85;26270.84
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;17746.03;7446.26
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;18964.35;3448.78
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;18594.17;5741.41
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;16295.48;2819.47
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;68646.77;36375.67
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;20536.27;5894.36
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;12684.79;8787.11
02;1112530401;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;23216.93;20312.51
02;1113031101;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;4688333.47;5570151.79
02;1113031101;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;4750904.71;5211747.98
02;1113031101;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;5369329.67;7402329.15
02;1113031101;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;6198689.40;6703252.47
02;1113031101;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;6123462.69;7254188.80
